customer_id,account_created_at,account_status,kyc_completed,card_activated,card_type,monthly_spend,transactions_count,product_feature_used,feature_used_at,account_tier,decline_rate,customer_segment,monthly_revenue,churned
1,2025-01-30,Active,True,True,Credit,352.36,4,CryptoRewards,2025-03-14,Free,0.07,Student,3.94,False
2,2023-10-11,Active,True,True,Credit,1967.16,30,,2025-05-08,Free,0.09,Retired,83.36,False
3,2024-04-22,Active,True,True,Credit,2873.78,61,,2024-10-29,Free,0.02,Professional,126.16,False
4,2024-03-13,Suspended,False,False,Virtual,0.0,0,RoundUps,2024-06-29,Free,0.09,Retired,0.0,False
5,2025-04-16,Active,False,False,Credit,0.0,0,,2025-05-05,Free,0.05,Student,0.0,False
6,2025-02-28,Active,True,True,Debit,529.83,10,RoundUps,2025-04-02,Plus,0.1,Retired,8.93,False
7,2024-12-23,Active,True,True,Debit,697.86,15,RoundUps,2025-06-04,Plus,0.04,Retired,7.87,False
8,2023-10-16,Active,False,False,Debit,0.0,0,DirectDeposit,2023-11-08,Premium,0.04,Student,10.0,False
9,2023-12-03,Active,False,False,Virtual,0.0,0,CryptoRewards,2024-05-20,Plus,0.07,Student,0.0,False
10,2024-03-20,Closed,False,False,Virtual,0.0,0,,2025-04-16,Free,0.02,Student,0.0,True
11,2025-01-01,Active,True,False,Debit,0.0,0,CryptoRewards,2025-01-11,Free,0.05,Professional,0.0,False
12,2024-11-30,Active,True,False,Credit,0.0,0,DirectDeposit,2025-02-15,Plus,0.03,Retired,0.0,False
13,2025-03-31,Closed,False,False,Virtual,0.0,0,BillPay,2025-08-04,Free,0.08,Retired,0.0,True
14,2025-03-19,Active,False,False,Credit,0.0,0,CryptoRewards,2025-07-02,Free,0.14,Student,0.0,False
15,2024-08-12,Active,True,False,Debit,0.0,0,DirectDeposit,2025-01-30,Premium,0.04,Student,10.0,False
16,2024-09-04,Active,True,True,Credit,1621.48,53,CryptoRewards,2025-04-20,Premium,0.03,Student,60.44,False
17,2024-04-25,Closed,False,False,Virtual,0.0,0,SavingsVault,2024-04-30,Plus,0.15,Retired,0.0,True
18,2025-05-03,Active,False,False,Credit,0.0,0,CryptoRewards,2025-06-03,Free,0.09,Student,0.0,False
19,2025-03-17,Active,True,True,Credit,142.67,3,DirectDeposit,2025-06-07,Free,0.1,Student,2.65,False
20,2024-06-12,Active,True,False,Credit,0.0,0,BillPay,2025-01-13,Plus,0.02,Student,0.0,False
21,2024-01-20,Active,False,False,Debit,0.0,0,RoundUps,2024-07-05,Free,0.02,Retired,0.0,False
22,2025-05-07,Active,True,True,Virtual,591.29,10,RoundUps,2025-07-11,Free,0.07,Professional,26.29,False
23,2023-12-10,Closed,True,True,Credit,2782.78,31,,2024-02-20,Premium,0.08,Student,61.62,True
24,2024-07-13,Active,False,False,Virtual,0.0,0,,2024-09-26,Premium,0.12,Student,10.0,False
25,2024-06-26,Closed,False,False,Credit,0.0,0,BillPay,2025-03-20,Plus,0.05,Retired,0.0,True
26,2025-01-02,Active,True,False,Debit,0.0,0,CryptoRewards,2025-04-14,Free,0.03,Retired,0.0,False
27,2025-06-09,Active,True,True,Virtual,1241.14,13,CryptoRewards,2025-06-17,Plus,0.09,Retired,43.16,False
28,2025-04-10,Active,False,False,Credit,0.0,0,,2025-07-08,Free,0.1,Retired,0.0,False
29,2024-11-11,Active,False,False,Debit,0.0,0,RoundUps,2024-12-29,Free,0.01,Retired,0.0,False
30,2025-09-07,Active,True,True,Credit,1079.58,42,,2025-09-16,Free,0.05,Professional,29.72,False
31,2023-11-22,Closed,False,False,Credit,0.0,0,CryptoRewards,2025-01-23,Free,0.05,Retired,0.0,True
32,2024-05-06,Closed,True,True,Virtual,853.43,12,BillPay,2025-09-06,Free,0.11,Retired,37.65,True
33,2025-01-14,Closed,False,False,Debit,0.0,0,DirectDeposit,2025-06-03,Free,0.02,Student,0.0,True
34,2024-12-13,Active,True,False,Debit,0.0,0,RoundUps,2025-02-25,Free,0.03,Professional,0.0,False
35,2025-03-22,Suspended,True,False,Virtual,0.0,0,RoundUps,2025-04-04,Free,0.05,Retired,0.0,False
36,2023-10-27,Active,True,True,Virtual,2351.34,25,CryptoRewards,2025-03-23,Free,0.11,Retired,110.58,False
37,2024-03-17,Closed,True,True,Virtual,2777.24,33,BillPay,2024-10-27,Free,0.05,Student,115.24,True
38,2023-11-22,Closed,True,True,Virtual,2759.43,57,BillPay,2025-09-16,Free,0.04,Student,100.45,True
39,2024-03-20,Active,False,False,Debit,0.0,0,,2024-06-06,Premium,0.1,Student,10.0,False
40,2024-07-13,Active,False,False,Virtual,0.0,0,DirectDeposit,2025-02-13,Free,0.02,Professional,0.0,False
41,2024-09-08,Suspended,False,False,Credit,0.0,0,SavingsVault,2025-05-12,Plus,0.14,Professional,0.0,False
42,2025-06-30,Active,True,False,Debit,0.0,0,BillPay,2025-08-04,Plus,0.06,Retired,0.0,False
43,2024-01-26,Active,False,False,Credit,0.0,0,DirectDeposit,2024-11-08,Plus,0.1,Student,0.0,False
44,2024-06-23,Active,False,False,Credit,0.0,0,BillPay,2024-12-02,Plus,0.1,Professional,0.0,False
45,2025-02-23,Active,True,True,Debit,1000.64,18,CryptoRewards,2025-06-06,Plus,0.08,Retired,46.08,False
46,2025-03-20,Active,True,False,Virtual,0.0,0,BillPay,2025-09-17,Plus,0.1,Retired,0.0,False
47,2025-03-05,Active,True,True,Virtual,2317.04,41,CryptoRewards,2025-04-01,Plus,0.04,Professional,87.71,False
48,2025-01-07,Active,False,False,Debit,0.0,0,RoundUps,2025-09-10,Plus,0.12,Retired,0.0,False
49,2024-02-01,Active,False,False,Virtual,0.0,0,CryptoRewards,2025-03-21,Free,0.15,Student,0.0,False
50,2025-04-10,Suspended,False,False,Credit,0.0,0,SavingsVault,2025-05-27,Free,0.14,Retired,0.0,False
51,2024-01-26,Active,False,False,Debit,0.0,0,,2025-01-19,Plus,0.12,Student,0.0,False
52,2024-07-12,Active,True,True,Debit,1040.75,11,,2025-02-06,Free,0.03,Professional,26.35,False
53,2025-09-09,Active,True,False,Virtual,0.0,0,RoundUps,2025-09-14,Free,0.04,Professional,0.0,False
54,2025-03-06,Active,True,False,Debit,0.0,0,SavingsVault,2025-07-09,Free,0.09,Professional,0.0,False
55,2025-07-07,Active,True,True,Virtual,1041.58,14,BillPay,2025-09-19,Free,0.13,Professional,48.73,False
56,2025-05-16,Active,True,True,Credit,1314.41,14,,2025-05-26,Free,0.05,Student,30.36,False
57,2024-03-17,Active,False,False,Debit,0.0,0,SavingsVault,2024-04-10,Free,0.05,Professional,0.0,False
58,2025-06-08,Active,True,False,Credit,0.0,0,,2025-08-08,Free,0.14,Professional,0.0,False
59,2024-07-29,Suspended,True,True,Virtual,422.35,5,BillPay,2025-02-21,Free,0.08,Retired,8.55,False
60,2023-11-12,Active,False,False,Virtual,0.0,0,BillPay,2024-04-23,Plus,0.15,Retired,0.0,False
61,2025-08-31,Active,True,True,Credit,2159.29,82,BillPay,2025-09-13,Free,0.02,Professional,88.31,False
62,2025-08-02,Active,True,False,Virtual,0.0,0,,2025-09-01,Plus,0.1,Professional,0.0,False
63,2024-03-05,Active,False,False,Debit,0.0,0,BillPay,2025-07-27,Plus,0.07,Professional,0.0,False
64,2024-10-13,Suspended,False,False,Credit,0.0,0,CryptoRewards,2025-03-15,Plus,0.05,Retired,0.0,False
65,2025-08-09,Active,True,True,Debit,2021.16,43,DirectDeposit,2025-09-09,Free,0.04,Professional,37.36,False
66,2024-09-12,Active,False,False,Debit,0.0,0,,2024-11-06,Plus,0.01,Retired,0.0,False
67,2024-04-14,Active,True,True,Credit,2087.3,29,RoundUps,2024-07-31,Plus,0.02,Retired,39.37,False
68,2024-03-31,Active,True,True,Credit,1064.08,10,DirectDeposit,2025-06-10,Free,0.11,Professional,22.17,False
69,2024-11-13,Active,False,False,Virtual,0.0,0,BillPay,2025-02-23,Free,0.04,Student,0.0,False
70,2025-04-24,Active,False,False,Credit,0.0,0,BillPay,2025-08-15,Free,0.05,Retired,0.0,False
71,2024-08-19,Suspended,False,False,Virtual,0.0,0,CryptoRewards,2025-06-25,Free,0.05,Student,0.0,False
72,2024-06-29,Closed,False,False,Virtual,0.0,0,DirectDeposit,2024-12-16,Free,0.04,Retired,0.0,True
73,2024-01-07,Suspended,False,False,Virtual,0.0,0,RoundUps,2025-02-05,Free,0.03,Professional,0.0,False
74,2024-10-09,Closed,False,False,Virtual,0.0,0,CryptoRewards,2024-11-13,Free,0.12,Student,0.0,True
75,2025-05-01,Closed,False,False,Debit,0.0,0,DirectDeposit,2025-05-10,Plus,0.09,Professional,0.0,True
76,2025-07-21,Active,True,True,Credit,757.6,11,,2025-07-31,Free,0.07,Retired,28.47,False
77,2024-01-18,Active,False,False,Debit,0.0,0,SavingsVault,2025-05-19,Plus,0.02,Professional,0.0,False
78,2024-01-24,Active,False,False,Credit,0.0,0,BillPay,2025-07-05,Free,0.14,Student,0.0,False
79,2024-08-14,Suspended,True,True,Virtual,1729.16,40,,2024-10-02,Plus,0.11,Retired,65.69,False
80,2024-07-16,Active,False,False,Credit,0.0,0,,2025-05-08,Free,0.07,Professional,0.0,False
81,2024-12-27,Active,False,False,Virtual,0.0,0,RoundUps,2025-06-26,Plus,0.15,Retired,0.0,False
82,2024-11-05,Active,False,False,Credit,0.0,0,DirectDeposit,2025-02-10,Free,0.04,Student,0.0,False
83,2024-11-24,Active,False,False,Virtual,0.0,0,BillPay,2024-11-28,Free,0.06,Professional,0.0,False
84,2025-03-03,Closed,False,False,Credit,0.0,0,,2025-04-16,Free,0.05,Retired,0.0,True
85,2025-03-04,Suspended,False,False,Credit,0.0,0,SavingsVault,2025-06-15,Plus,0.02,Student,0.0,False
86,2025-05-10,Active,False,False,Credit,0.0,0,DirectDeposit,2025-09-11,Free,0.07,Student,0.0,False
87,2024-06-12,Active,True,True,Credit,966.71,45,BillPay,2024-09-06,Plus,0.15,Student,44.97,False
88,2024-05-06,Active,False,False,Virtual,0.0,0,CryptoRewards,2025-04-08,Free,0.11,Student,0.0,False
89,2024-01-22,Active,False,False,Debit,0.0,0,,2025-01-08,Free,0.09,Retired,0.0,False
90,2023-09-24,Suspended,True,True,Debit,2373.77,57,,2025-04-06,Free,0.11,Professional,103.26,False
91,2025-08-02,Active,False,False,Virtual,0.0,0,CryptoRewards,2025-08-27,Free,0.06,Professional,0.0,False
92,2024-10-14,Active,True,False,Virtual,0.0,0,DirectDeposit,2025-08-05,Plus,0.11,Student,0.0,False
93,2024-02-07,Closed,False,False,Debit,0.0,0,RoundUps,2025-03-07,Premium,0.03,Retired,10.0,True
